id,name,category,calories_100g,carbs_100g,fats_100g,saturated_fats_100g,protein_100g,fibre_100g,sugar_100g,salt_100g
168601,"Seeds Pumpkin Squash Seeds, Roasted",9,446.0,53.8,19.4,3.67,18.6,18.4,0.0,6.4516
171330,Spices Poppy Seed,11,525.0,28.1,41.6,4.52,18.0,19.5,2.99,0.06604
169418,"Seeds Sunflower Seed Kernels, Dry, Roasted",9,582.0,24.1,49.8,5.22,19.3,9.0,2.73,1.6637
167532,Bread White Wheat,5,238.0,43.9,2.15,0.63,10.7,9.2,5.0,1.21412
172688,Bread Whole-wheat,5,252.0,42.7,3.5,0.722,12.4,6.0,4.34,1.1557
172675,Bread French Vienna,5,272.0,51.9,2.42,0.529,10.8,2.2,4.62,1.52908
172684,Bread Rye,5,259.0,48.3,3.3,0.626,8.5,5.8,3.85,1.5316200000000002
167945,Focaccia Italian Flatbread Plain,5,249.0,35.8,7.89,0.877,8.77,1.8,1.75,1.42494
172816,Bread Pita White,5,275.0,55.7,1.2,0.166,9.1,2.2,0.0,1.36144
174987,Croissants Butter,5,406.0,45.8,21.0,11.7,8.2,2.6,11.3,0.97536
169724,Wheat Flour White Tortilla Mix Enriched,4,405.0,67.1,10.6,4.1,9.66,0.0,0.0,1.71958
169677,Snacks Potato Chips Plain Salted,13,532.0,53.8,34.0,3.4,6.39,3.1,0.33,1.33858
173143,Tortilla Chips Yellow Plain Salted,13,497.0,67.4,22.3,2.78,6.62,4.7,1.21,0.7874
170650,Snacks Pretzels Hard Plain Flour Salted,13,381.0,79.2,3.5,0.75,9.1,2.8,0.0,4.3688
170247,Snacks Popcorn Oil-popped White Popcorn,13,500.0,57.2,28.1,4.89,9.0,10.0,0.0,2.24536
167995,Candies Marshmallows,12,318.0,81.3,0.2,0.056,1.8,0.1,57.6,0.2032
172820,Cookies Chocolate Chip Higher Fat,5,481.0,66.8,22.6,7.48,5.4,2.5,0.0,0.8001
167575,Ice Creams Vanilla,12,207.0,23.6,11.0,6.79,3.5,0.7,21.2,0.2032
168809,Ice Creams Chocolate,12,216.0,28.2,11.0,6.8,3.8,1.2,25.4,0.19304
168810,Ice Creams Strawberry,12,192.0,27.6,8.4,5.19,3.2,0.9,0.0,0.1524
169641,Jams Preserves,12,278.0,68.9,0.07,0.01,0.37,1.1,48.5,0.08128
168000,Chocolate-flavored Hazelnut Spread,12,539.0,62.4,29.7,28.4,5.41,5.4,54.0,0.10414
174852,Beverages Carbonated Cola,14,42.0,10.4,0.25,0.0,0.0,0.0,9.94,0.00762
173934,Apple Juice Frozen Concentrate Undiluted Ascorbic Acid,3,166.0,41.0,0.37,0.06,0.51,0.4,38.8,0.0635
169044,Beverages Orange Juice,14,54.0,13.4,0.0,0.0,0.2,0.2,9.36,0.00508
171888,Beverages Tea Black Ready-to-drink Lemon,14,45.0,10.8,0.22,0.0,0.0,0.0,9.49,0.00762
168556,Catsup,1,101.0,27.4,0.1,0.014,1.04,0.3,21.3,2.30378
172234,Mustard Yellow,11,60.0,5.83,3.34,0.214,3.74,4.0,0.92,2.794
171009,Salad Dressing Mayonnaise,10,680.0,0.57,74.8,11.7,0.96,0.0,0.57,1.6129
171186,Sauce Hot Chile Sriracha,11,93.0,19.2,0.93,0.0,1.93,2.2,15.1,5.3848
174278,Soy Sauce Soy,2,60.0,5.57,0.1,0.011,10.5,0.8,1.7,14.1986
171582,Sauce Pesto Classico Basil Pesto Ready-to-serve,11,372.0,6.93,36.4,6.72,4.16,2.1,2.6,2.6161999999999996
