id,name,category,calories_100g,carbs_100g,fats_100g,saturated_fats_100g,protein_100g,fibre_100g,sugar_100g,salt_100g
171077,"Chicken Breast Skinless Boneless Only, Skinless, Raw",7,120.0,0.0,2.62,0.563,22.5,0.0,0.0,0.1143
171534,"Chicken Breast Skinless Boneless Only, Skinless, Cooked, Grilled",7,151.0,0.0,3.17,0.992,30.5,0.0,0.0,0.13208
171075,"Chicken Breast, With skin, Cooked, Roasted",7,197.0,0.0,7.78,2.19,29.8,0.0,0.0,0.18034
172385,"Chicken Thigh, With skin, Raw",7,221.0,0.25,16.6,4.52,16.5,0.0,0.0,0.20574
173627,"Chicken Dark Thigh Only, Skinless, Raw",7,121.0,0.0,4.12,1.1,19.7,0.0,0.0,0.2413
173625,"Chicken Thigh, With skin, Cooked, Roasted",7,232.0,0.0,14.7,4.11,23.3,0.0,0.0,0.25908
172388,"Chicken Thigh Only, Skinless, Cooked, Roasted",7,179.0,0.0,8.15,2.31,24.8,0.0,0.0,0.26924
172387,"Chicken Thigh Only, Skinless, Cooked, Fried",7,218.0,1.18,10.3,2.78,28.2,0.0,0.0,0.2413
172390,"Chicken Wing, With skin, Raw",7,191.0,0.0,12.8,3.54,17.5,0.0,0.0,0.21336
173630,"Chicken Wing, With skin, Cooked, Roasted",7,254.0,0.0,16.9,4.98,23.8,0.0,0.0,0.24892
173628,"Chicken Wing Batter, With skin, Cooked, Fried",7,324.0,10.9,21.8,5.83,19.9,0.3,0.0,0.8128
172373,"Chicken Drumstick, With skin, Raw",7,161.0,0.11,9.2,2.46,18.1,0.0,0.0,0.26924
173612,"Chicken Drumstick, With skin, Cooked, Roasted",7,191.0,0.0,10.2,2.74,23.4,0.0,0.0,0.31242
171116,"Chicken Ground, Raw",7,143.0,0.04,8.1,2.3,17.4,0.0,0.0,0.1524
171117,"Chicken Ground Crumbles Pan-browned, Cooked",7,189.0,0.0,10.9,3.11,23.3,0.0,0.0,0.1905
171060,"Chicken Liver, Raw",7,119.0,0.73,4.83,1.56,16.9,0.0,0.0,0.18034
171061,"Chicken Liver, Cooked, Simmered",7,167.0,0.87,6.51,2.06,24.5,0.0,0.0,0.19304
174491,"Chicken Liver, Cooked, Pan-fried",7,172.0,1.11,6.43,2.03,25.8,0.0,0.0,0.23368
168238,"Pork Fresh Loin Center Loin Bone-in Separable Fat, Raw",7,170.0,0.0,9.03,2.99,20.7,0.0,0.0,0.1397
167829,"Pork Fresh Loin Center Loin Bone-in Separable Only, Raw",7,127.0,0.0,3.71,1.1,22.0,0.0,0.0,0.14732
167839,"Pork Fresh Loin Top Loin Boneless Separable Fat, Raw",7,155.0,0.0,6.94,2.45,21.6,0.0,0.0,0.12192
167827,"Pork Fresh Loin Center Loin Bone-in Separable Fat, Cooked, Broiled",7,209.0,0.0,11.1,3.52,25.6,0.0,0.0,0.1397
168240,"Pork Fresh Loin Center Loin Bone-in Separable Only, Cooked, Broiled",7,180.0,0.0,7.29,2.16,26.8,0.0,0.0,0.14224
168380,"Pork Fresh Blade Boneless Separable Fat, Cooked, Broiled",7,202.0,0.83,11.1,3.28,24.7,0.0,0.0,0.14732
168381,"Pork Fresh Loin Blade Boneless Separable Fat Only, Raw",7,157.0,0.76,7.94,2.77,20.5,0.0,0.0,0.16256
167824,"Pork Fresh Loin Blade Bone-in Separable Fat, Cooked, Broiled",7,231.0,0.0,14.4,4.34,23.7,0.0,0.0,0.18796
167822,"Pork Fresh Loin Blade Bone-in Separable Fat, Raw",7,194.0,0.0,12.3,4.27,19.6,0.0,0.0,0.17526
167831,"Pork Fresh Loin Center Rib Bone-in Separable Fat, Cooked, Broiled",7,222.0,0.0,13.0,4.49,24.4,0.0,0.0,0.1397
169196,"Pork Fresh Loin Blade Boneless Separable Only Boneless, Cooked, Broiled",7,169.0,0.89,6.74,1.64,26.1,0.0,0.0,0.14732
167898,"Pork Fresh Loin Sirloin Boneless Separable Fat Braised, Cooked",7,171.0,0.0,5.47,1.87,28.4,0.0,0.0,0.14224
171098,"Turkey Breast Only, Skinless, Raw",7,114.0,0.14,1.48,0.289,23.7,0.0,0.05,0.28702
171093,"Turkey Breast, With skin, Raw",7,157.0,0.0,7.02,1.91,21.9,0.0,0.0,0.14986
171496,"Turkey Breast Only, Skinless, Cooked, Roasted",7,147.0,0.0,2.08,0.593,30.1,0.0,0.0,0.25146
171492,"Turkey Breast, With skin, Cooked, Roasted",7,189.0,0.0,7.41,2.1,28.7,0.0,0.0,0.16002
171505,"Turkey Ground, Raw",7,148.0,0.0,7.66,2.02,19.7,0.0,0.0,0.14732
171506,"Turkey Ground, Cooked",7,203.0,0.0,10.4,2.67,27.4,0.0,0.0,0.19812
171533,"Turkey Thigh, With skin, Raw",7,161.0,0.0,9.16,2.39,19.5,0.0,0.0,0.1905
174518,"Turkey Thigh Only, Skinless, Raw",7,116.0,0.0,3.69,0.782,20.6,0.0,0.0,0.1905
171137,"Turkey Thigh, With skin, Cooked, Roasted",7,183.0,0.41,9.5,2.96,24.0,0.0,0.0,0.25654
172877,"Turkey Thigh Only, Skinless, Cooked, Roasted",7,159.0,0.46,6.25,2.02,25.1,0.0,0.0,0.26416
172517,"Lamb New Zealand Imported Loin Chop Separable Fat, Raw",7,298.0,0.22,26.2,11.2,15.4,0.0,0.0,0.16002
174461,"Lamb New Zealand Imported Loin Chop Separable Fat Fast, Cooked, Fried",7,332.0,0.41,27.1,11.3,21.5,0.0,0.0,0.18542
173810,"Lamb New Zealand Imported Loin Chop Separable Only, Raw",7,142.0,0.0,6.88,2.76,20.0,0.0,0.0,0.19558
174457,"Lamb New Zealand Imported Loin Chop Separable Only Fast, Cooked, Fried",7,208.0,0.41,10.7,4.04,27.4,0.0,0.0,0.21336
168608,"Beef Grass-fed Ground, Raw",7,198.0,0.0,12.7,5.34,19.4,0.0,0.0,0.17272
172161,"Beef Ground Unspecified Fat Content, Cooked",7,240.0,0.62,14.5,5.6,25.1,0.0,0.0,0.2159
169429,"Beef Grass-fed Strip Steaks Only, Raw",7,117.0,0.0,2.69,1.03,23.1,0.0,0.0,0.1397
175288,"Veal Sirloin Separable Fat, Cooked, Roasted",7,202.0,0.0,10.4,4.51,25.1,0.0,0.0,0.2108199999999999
172599,"Game Meat Bison Ribeye Separable Only 1 Steak, Cooked, Broiled",7,177.0,0.0,5.67,2.42,29.4,0.0,0.0,0.13208
168608,"Beef Grass-fed Ground, Raw",7,198.0,0.0,12.7,5.34,19.4,0.0,0.0,0.17272
173881,Ham Smoked Low Sodium,7,141.0,10.7,2.71,1.79,18.5,0.0,10.7,2.6924
168092,Ham Turkey Deli,7,134.0,0.93,5.8,0.5,19.6,0.0,0.5,2.6416
168277,Pork Cured Bacon Unprepared,7,393.0,0.0,37.1,12.6,13.7,0.0,0.35,1.90754
167914,"Pork Cured Bacon, Cooked, Baked",7,548.0,1.35,43.3,14.2,35.7,0.0,0.0,5.562600000000001
168322,"Pork Cured Bacon Pre-sliced, Cooked, Pan-fried",7,468.0,1.7,35.1,12.0,33.9,0.0,0.0,4.2672
171624,Frankfurter Chicken,7,223.0,2.74,16.2,3.86,15.5,0.0,2.98,2.6161999999999996
172964,Frankfurter Pork,7,269.0,0.28,23.7,8.72,12.8,0.1,0.0,2.07264
171625,Frankfurter Turkey,7,223.0,3.81,17.3,4.03,12.2,0.0,1.21,2.31394
175178,"Fish Cod Pacific, Cooked",8,84.0,0.0,0.25,0.048,20.4,0.0,0.0,0.34036
171955,"Fish Cod Atlantic, Raw",8,82.0,0.0,0.67,0.131,17.8,0.0,0.0,0.13716
173725,"Fish Pollock Alaska, Raw",8,76.0,0.0,0.82,0.148,17.2,0.0,0.0,0.40386
173726,"Fish Pollock Alaska, Cooked",8,86.6,0.0,0.995,0.203,19.4,0.0,0.0,0.4216399999999999
171948,"Fish Bass Striped, Raw",8,97.0,0.0,2.33,0.507,17.7,0.0,0.0,0.17526
171989,"Fish Bass Freshwater, Cooked, Dry, Heat",8,146.0,0.0,4.73,1.0,24.2,0.0,0.0,0.2286
175138,"Fish Salmon Pink, Raw",8,127.0,0.0,4.4,0.81,20.5,0.0,0.0,0.1905
172001,"Fish Salmon Pink, Cooked, Dry, Heat",8,153.0,0.0,5.28,0.971,24.6,0.0,0.0,0.2286
173687,Fish Salmon Chinook Smoked,8,117.0,0.0,4.32,0.929,18.3,0.0,0.0,1.7068800000000002
173706,"Fish Tuna Fresh Bluefin, Raw",8,144.0,0.0,4.9,1.26,23.3,0.0,0.0,0.09906
173707,"Fish Tuna Fresh Bluefin, Cooked, Dry, Heat",8,184.0,0.0,6.28,1.61,29.9,0.0,0.0,0.127
175157,Fish Tuna White Canned In Oil,8,186.0,0.0,8.08,1.28,26.5,0.0,0.0,1.00584
173708,Fish Tuna Light Canned In Oil,8,198.0,0.0,8.21,1.53,29.1,0.0,0.0,1.05664
175153,"Fish Trout, Raw",8,148.0,0.0,6.61,1.15,20.8,0.0,0.0,0.13208
172004,"Fish Trout, Cooked, Dry, Heat",8,190.0,0.0,8.47,1.47,26.6,0.0,0.0,0.17018
175179,"Crustaceans Shrimp, Raw",8,85.0,0.0,0.51,0.101,20.1,0.0,0.0,0.30226
175180,"Crustaceans Shrimp, Cooked",8,99.0,0.2,0.28,0.056,24.0,0.0,0.0,0.28194
174216,"Mollusks Mussel Blue, Raw",8,86.0,3.69,2.24,0.425,11.9,0.0,0.0,0.7264400000000001
174217,"Mollusks Mussel Blue, Cooked, Moist, Heat",8,172.0,7.39,4.48,0.85,23.8,0.0,0.0,0.93726
174218,"Mollusks Octopus Common, Raw",8,82.0,2.2,1.04,0.227,14.9,0.0,0.0,0.5842
174249,"Mollusks Octopus Common, Cooked, Moist, Heat",8,164.0,4.4,2.08,0.453,29.8,0.0,0.0,1.1684
174223,"Mollusks Squid, Raw",8,92.0,3.08,1.38,0.358,15.6,0.0,0.0,0.11176
171982,"Mollusks Squid, Cooked, Fried",8,175.0,7.79,7.48,1.88,17.9,0.0,0.0,0.77724
172205,Milk Reduced Fat 2% Milkfat D,6,50.0,4.8,1.98,1.26,3.3,0.0,5.06,0.11938
173441,Milk 1% Fat D,6,42.0,4.99,0.97,0.633,3.37,0.0,5.2,0.11176
171275,Milk Canned Condensed,6,321.0,54.4,8.7,5.49,7.91,0.0,54.4,0.32258
170869,Sour Cream Imitation Cultured,6,208.0,6.63,19.5,17.8,2.4,0.0,6.63,0.25908
170903,Yogurt Greek Plain Lowfat,6,73.0,3.94,1.92,1.23,9.95,0.0,3.56,0.08636
171284,Yogurt Plain,6,61.0,4.66,3.25,2.1,3.47,0.0,4.66,0.11684
170845,Cheese Mozzarella,6,299.0,2.4,22.1,13.9,22.2,0.0,0.0,1.23444
170851,Cheese Ricotta,6,150.0,7.27,10.2,6.42,7.54,0.0,0.27,0.2794
173420,Cheese Feta,6,265.0,3.88,21.5,13.3,14.2,0.0,0.0,2.8956
173418,Cheese Cream,6,350.0,5.52,34.4,20.2,6.15,0.0,3.76,0.79756
169079,Cheese Cream Low Fat,6,208.0,6.73,16.7,10.0,7.85,0.0,3.3,0.8051800000000001
171247,Cheese Parmesan Grated,6,420.0,13.9,27.8,15.4,28.4,0.0,0.07,4.572
172178,Cheese Camembert,6,300.0,0.46,24.3,15.3,19.8,0.0,0.46,2.13868
172177,Cheese Brie,6,334.0,0.45,27.7,17.4,20.8,0.0,0.45,1.59766
170899,Cheese Cheddar Sharp,6,410.0,2.13,33.8,19.4,24.2,0.0,0.27,1.63576
171287,"Egg Fresh, Raw",6,143.0,0.72,9.51,3.13,12.6,0.0,0.37,0.36068
173424,"Egg Hard-boiled, Cooked",6,155.0,1.12,10.6,3.27,12.6,0.0,1.12,0.3149599999999999
172186,"Egg Poached, Cooked",6,143.0,0.71,9.47,3.11,12.5,0.0,0.37,0.75438
173423,"Egg, Cooked, Fried",6,196.0,0.83,14.8,4.32,13.6,0.0,0.4,0.52578
172183,"Egg White Fresh, Raw",6,52.0,0.73,0.17,0.0,10.9,0.0,0.71,0.4216399999999999
172184,"Egg Yolk Fresh, Raw",6,322.0,3.59,26.5,9.55,15.9,0.0,0.56,0.12192
172451,"Tofu, Fried",2,270.0,8.86,20.2,2.92,18.8,3.9,2.72,0.04064
172476,"Tofu Calcium Sulfate, Raw",2,76.0,1.87,4.78,0.691,8.08,0.3,0.62,0.01778
174272,Tempeh,2,192.0,7.64,10.8,2.54,20.3,0.0,0.0,0.02286
172467,"Tempeh, Cooked",2,195.0,7.62,11.4,3.4,19.9,0.0,0.0,0.03556
174832,Beverages Almond Shelf,14,15.0,1.31,0.96,0.08,0.4,0.2,0.81,0.18288
174116,Beverages Coconut Calcium Vitamins,14,31.0,2.92,2.08,2.08,0.21,0.0,2.5,0.04826
171942,Beverages Rice,14,47.0,9.17,0.97,0.0,0.28,0.3,5.28,0.09906
169205,"Artichokes, Raw",1,47.0,10.5,0.15,0.036,3.27,5.4,0.99,0.23876
168389,"Asparagus, Raw",1,20.0,3.88,0.12,0.04,2.2,2.1,1.88,0.00508
168390,"Asparagus, Cooked, Boiled",1,22.0,4.11,0.22,0.048,2.4,2.0,1.3,0.03556
169145,"Beets, Raw",1,43.0,9.56,0.17,0.027,1.61,2.8,6.76,0.19812
170390,"Cabbage Chinese, Raw",1,13.0,2.18,0.2,0.027,1.5,1.0,1.18,0.1651
170379,"Broccoli, Raw",1,34.0,6.64,0.37,0.114,2.82,2.6,1.7,0.08382
169967,"Broccoli, Cooked, Boiled",1,35.0,7.18,0.41,0.079,2.38,3.3,1.39,0.10414
170383,"Brussels Sprouts, Raw",1,43.0,8.95,0.3,0.062,3.38,3.8,2.2,0.0635
169971,"Brussels Sprouts, Cooked, Boiled",1,36.0,7.1,0.5,0.102,2.55,2.6,1.74,0.05334
169295,"Squash Winter Butternut, Raw",1,45.0,11.7,0.1,0.021,1.0,2.0,2.2,0.01016
169296,"Squash Winter Butternut, Cooked, Baked",1,40.0,10.5,0.09,0.019,0.9,3.2,1.97,0.01016
169975,"Cabbage, Raw",1,25.0,5.8,0.1,0.034,1.28,2.5,3.2,0.04572
169976,"Cabbage, Cooked, Boiled",1,23.0,5.51,0.06,0.0,1.27,1.9,2.79,0.02032
170393,"Carrots, Raw",1,41.0,9.58,0.24,0.032,0.93,2.8,4.74,0.17526
170394,"Carrots, Cooked, Boiled",1,35.0,8.22,0.18,0.03,0.76,3.0,3.45,0.14732
169986,"Cauliflower, Raw",1,25.0,4.97,0.28,0.13,1.92,2.0,1.91,0.0762
170397,"Cauliflower, Cooked, Boiled",1,23.0,4.11,0.45,0.07,1.84,2.3,2.08,0.0381
169988,"Celery, Raw",1,14.0,2.97,0.17,0.042,0.69,1.6,1.34,0.2032
169994,"Chives, Raw",1,30.0,4.35,0.73,0.146,3.27,2.5,1.85,0.00762
169998,"Corn Sweet Yellow, Raw",1,86.0,18.7,1.35,0.325,3.27,2.0,6.26,0.0381
169999,"Corn Sweet Yellow, Cooked, Boiled",1,96.0,21.0,1.5,0.197,3.41,2.4,4.54,0.00254
168409,"Cucumber Peel, Raw",1,15.0,3.63,0.11,0.037,0.65,0.5,1.67,0.00508
168410,Edamame Frozen Unprepared,1,109.0,7.61,4.73,0.0,11.2,4.8,2.48,0.01524
168411,Edamame Frozen,1,121.0,8.91,5.2,0.62,11.9,5.2,2.18,0.01524
169228,"Eggplant, Raw",1,25.0,5.88,0.18,0.034,0.98,3.0,3.53,0.00508
169229,"Eggplant, Cooked, Boiled",1,35.0,8.73,0.23,0.044,0.83,2.5,3.2,0.00254
169230,"Garlic, Raw",1,149.0,33.1,0.5,0.089,6.36,2.1,1.0,0.04318
169251,"Mushrooms White, Raw",1,22.0,3.26,0.34,0.05,3.09,1.0,1.98,0.0127
169252,"Mushrooms White, Cooked, Boiled",1,28.0,5.29,0.47,0.061,2.17,2.2,2.34,0.00508
170108,"Peppers Sweet Red, Raw",1,26.0,6.03,0.3,0.059,0.99,2.1,4.2,0.01016
169383,"Peppers Sweet Yellow, Raw",1,27.0,6.32,0.21,0.031,1.0,0.9,0.0,0.00508
170427,"Peppers Sweet Green, Raw",1,20.0,4.64,0.17,0.058,0.86,1.7,2.4,0.00762
170028,"Potatoes White, Raw",1,69.0,15.7,0.1,0.026,1.68,2.4,1.15,0.04064
170434,"Potatoes White, Baked",1,92.0,21.1,0.15,0.04,2.1,2.1,1.53,0.01778
171719,"Cherries Sweet, Raw",3,63.0,16.0,0.2,0.038,1.06,2.1,12.8,0.0
168483,"Sweet Potato In, Cooked, Baked",1,90.0,20.7,0.15,0.052,2.01,3.3,6.48,0.09144
168448,"Pumpkin, Raw",1,26.0,6.5,0.1,0.052,1.0,0.5,2.76,0.00254
168449,"Pumpkin, Cooked, Boiled",1,20.0,4.9,0.07,0.037,0.72,1.1,2.08,0.00254
169291,"Squash Summer Zucchini, Raw",1,17.0,3.11,0.32,0.084,1.21,1.0,2.5,0.02032
169292,"Squash Summer Zucchini, Cooked, Boiled",1,15.0,2.69,0.36,0.072,1.14,1.0,1.71,0.00762
170457,"Tomatoes Red Ripe, Raw",1,18.0,3.89,0.2,0.028,0.88,1.2,2.63,0.0127
170050,"Tomatoes Red Ripe, Cooked",1,18.0,4.01,0.11,0.015,0.95,0.7,2.49,0.02794
175188,Beans Black Turtle Mature Seeds Canned,2,91.0,16.6,0.29,0.075,6.03,6.9,0.23,0.97536
173734,"Beans Black Mature Seeds, Raw",2,341.0,62.4,1.42,0.366,21.6,15.5,2.12,0.0127
173735,"Beans Black Mature Seeds, Cooked, Boiled",2,132.0,23.7,0.54,0.139,8.86,8.7,0.32,0.00254
175202,"Beans White Mature Seeds, Raw",2,333.0,60.3,0.85,0.219,23.4,15.2,2.11,0.04064
175204,Beans White Mature Seeds Canned,2,114.0,21.2,0.29,0.074,7.26,4.8,0.29,0.8636
175203,"Beans White Mature Seeds, Cooked, Boiled",2,139.0,25.1,0.35,0.091,9.73,6.3,0.34,0.01524
173745,"Beans Navy Mature Seeds, Raw",2,337.0,60.8,1.5,0.17,22.3,15.3,3.88,0.0127
173747,Beans Navy Mature Seeds Canned,2,113.0,20.4,0.43,0.112,7.53,5.1,0.28,0.8534400000000001
173800,Chickpeas Mature Seeds Canned,2,139.0,22.5,2.77,0.214,7.05,6.4,4.01,0.6248400000000001
173756,"Chickpeas Mature Seeds, Raw",2,378.0,63.0,6.04,0.603,20.5,12.2,10.7,0.06096
169388,"Nopales, Cooked",1,15.0,3.28,0.05,0.006,1.35,2.0,1.12,0.0508
173744,"Beans Kidney Red Mature Seeds, Raw",2,337.0,61.3,1.06,0.154,22.5,15.2,2.1,0.03048
174285,Beans Kidney Red Mature Seeds Canned,2,124.0,21.5,1.05,0.181,7.98,5.5,3.8,0.58674
175194,"Beans Kidney Red Mature Seeds, Cooked, Boiled",2,127.0,22.8,0.5,0.072,8.67,7.4,0.32,0.00508
170419,"Peas Green, Raw",1,81.0,14.4,0.4,0.071,5.42,5.7,5.67,0.0127
170015,Peas Green Canned Rinsed In Tap Water,1,71.0,11.8,0.95,0.17,4.33,0.0,0.0,0.58674
170420,"Peas Green, Cooked, Boiled",1,84.0,15.6,0.22,0.039,5.36,5.5,5.93,0.00762
170017,"Peas Green Frozen, Cooked, Boiled",1,78.0,14.3,0.27,0.049,5.15,4.5,4.4,0.18288
174284,"Lentils Pink Red, Raw",2,358.0,63.1,2.17,0.379,23.9,10.8,0.0,0.01778
172421,"Lentils Mature Seeds, Cooked, Boiled",2,116.0,20.1,0.38,0.053,9.02,7.9,1.8,0.00508
172420,"Lentils, Raw",2,352.0,63.4,1.06,0.154,24.6,10.7,2.03,0.01524
169419,"Nuts Almonds Oil, Roasted",9,607.0,17.7,55.2,4.21,21.2,10.5,4.55,0.86106
170159,"Nuts Almonds Oil, Roasted",9,607.0,17.7,55.2,4.21,21.2,10.5,4.55,0.00254
170567,Nuts Almonds,9,579.0,21.6,49.9,3.8,21.2,12.5,4.35,0.00254
170162,"Nuts Cashew Nuts, Raw",9,553.0,30.2,43.8,7.78,18.2,3.3,5.91,0.03048
170162,"Nuts Cashew Nuts, Raw",9,553.0,30.2,43.8,7.78,18.2,3.3,5.91,0.03048
169421,"Nuts Cashew Nuts, Dry, Roasted",9,574.0,32.7,46.4,9.16,15.3,3.0,5.01,1.6256
170583,"Nuts Hazelnuts Filberts, Dry, Roasted",9,646.0,17.6,62.4,4.51,15.0,9.4,4.89,0.0
170581,Nuts Hazelnuts Filberts,9,628.0,16.7,60.8,4.46,15.0,9.7,4.34,0.0
170178,"Nuts Macadamia Nuts, Raw",9,718.0,13.8,75.8,12.1,7.91,8.6,4.57,0.0127
168598,"Nuts Macadamia Nuts, Dry, Roasted",9,716.0,12.8,76.1,11.9,7.79,8.0,4.14,0.89662
170179,"Nuts Macadamia Nuts, Dry, Roasted",9,718.0,13.4,76.1,11.9,7.79,8.0,4.14,0.01016
170184,"Nuts Pistachio Nuts, Raw",9,560.0,27.2,45.3,5.91,20.2,10.6,7.66,0.00254
169426,"Nuts Pistachio Nuts, Dry, Roasted",9,569.0,27.6,45.8,5.64,21.0,10.3,7.74,1.08712
170185,"Nuts Pistachio Nuts, Dry, Roasted",9,572.0,28.3,45.8,5.64,21.0,10.3,7.74,0.01524
170591,Nuts Pine Nuts Dried,9,673.0,13.1,68.4,4.9,13.7,3.7,3.59,0.00508
170150,Seeds Sesame Seeds Dried,9,573.0,23.4,49.7,6.96,17.7,11.8,0.3,0.02794
170554,Seeds Chia Seeds Dried,9,486.0,42.1,30.7,3.33,16.5,34.4,0.0,0.04064
